fixture_id,match_number,stage,group,matchday,kickoff_utc,venue_key,home_team,away_team,home_code,away_code,home_score,away_score,winner_code,played
WC26-M052,52,group,B,3,2026-06-24T19:00:00Z,Seattle Stadium,Bosnia and Herzegovina,Qatar,BIH,QAT,3,1,BIH,True
WC26-M049,49,group,C,3,2026-06-24T22:00:00Z,Miami Stadium,Scotland,Brazil,SCO,BRA,0,3,BRA,True
WC26-M050,50,group,C,3,2026-06-24T22:00:00Z,Atlanta Stadium,Morocco,Haiti,MAR,HAI,4,2,MAR,True
WC26-M053,53,group,A,3,2026-06-25T01:00:00Z,Mexico City Stadium,Czechia,Mexico,CZE,MEX,0,3,MEX,True
WC26-M054,54,group,A,3,2026-06-25T01:00:00Z,Monterrey Stadium,South Africa,Korea Republic,RSA,KOR,1,0,RSA,True
WC26-M055,55,group,E,3,2026-06-25T20:00:00Z,Philadelphia Stadium,Curaçao,Côte d'Ivoire,CUW,CIV,0,2,CIV,True
WC26-M056,56,group,E,3,2026-06-25T20:00:00Z,New York/New Jersey Stadium,Ecuador,Germany,ECU,GER,2,1,ECU,True
WC26-M057,57,group,F,3,2026-06-25T23:00:00Z,Dallas Stadium,Japan,Sweden,JPN,SWE,1,1,,True
WC26-M058,58,group,F,3,2026-06-25T23:00:00Z,Kansas City Stadium,Tunisia,Netherlands,TUN,NED,1,3,NED,True
WC26-M059,59,group,D,3,2026-06-26T02:00:00Z,Los Angeles Stadium,Türkiye,USA,TUR,USA,3,2,TUR,True
WC26-M060,60,group,D,3,2026-06-26T02:00:00Z,San Francisco Bay Area Stadium,Paraguay,Australia,PAR,AUS,0,0,,True
WC26-M061,61,group,I,3,2026-06-26T19:00:00Z,Boston Stadium,Norway,France,NOR,FRA,1,4,FRA,True
WC26-M062,62,group,I,3,2026-06-26T19:00:00Z,Toronto Stadium,Senegal,Iraq,SEN,IRQ,5,0,SEN,True
WC26-M065,65,group,H,3,2026-06-27T00:00:00Z,Houston Stadium,Cabo Verde,Saudi Arabia,CPV,KSA,0,0,,True
WC26-M066,66,group,H,3,2026-06-27T00:00:00Z,Guadalajara Stadium,Uruguay,Spain,URU,ESP,0,1,ESP,True
WC26-M063,63,group,G,3,2026-06-27T03:00:00Z,Seattle Stadium,Egypt,IR Iran,EGY,IRN,1,1,,True
WC26-M064,64,group,G,3,2026-06-27T03:00:00Z,BC Place Vancouver,New Zealand,Belgium,NZL,BEL,1,5,BEL,True
WC26-M067,67,group,L,3,2026-06-27T21:00:00Z,New York/New Jersey Stadium,Panama,England,PAN,ENG,0,2,ENG,True
WC26-M068,68,group,L,3,2026-06-27T21:00:00Z,Philadelphia Stadium,Croatia,Ghana,CRO,GHA,2,1,CRO,True
WC26-M071,71,group,K,3,2026-06-27T23:30:00Z,Miami Stadium,Colombia,Portugal,COL,POR,0,0,,True
WC26-M072,72,group,K,3,2026-06-27T23:30:00Z,Atlanta Stadium,Congo DR,Uzbekistan,COD,UZB,3,1,COD,True
WC26-M069,69,group,J,3,2026-06-28T02:00:00Z,Kansas City Stadium,Algeria,Austria,ALG,AUT,3,3,,True
WC26-M070,70,group,J,3,2026-06-28T02:00:00Z,Dallas Stadium,Jordan,Argentina,JOR,ARG,1,3,ARG,True
WC26-M073,73,R32,,,2026-06-28T19:00:00Z,Los Angeles Stadium,South Africa,Canada,RSA,CAN,0,1,CAN,True
